sno,Source.Name,P1,P2,P3,P4,C1,C2,C3,C4,DeltaTimeS12,Year,YearF,Year5,Deacades,Twos,Threes,4 Years
101,100306_02 Pomatorhinus schisticeps FRI DEHRADUN UTTARAKHAND P-humei background_6.Table.2.selections_4splits.txt,5081.836,4823.438,3445.312,5943.164,4909.57,4737.305,3617.578,4823.438,0.0614,2010,2010,F6,D3,Tw15,T10,IV08
102,101218_10 Phylloscopus humie U Sariska Rajasthan_8.Table.2.selections_4splits.txt,4651.172,4565.039,3703.711,5081.836,4651.172,4565.039,3617.578,4995.703,0.0632,2010,2010,F6,D3,Tw15,T10,IV08
103,110200x_Harike_AnteStrand_XC105580 - Hume's Leaf Warbler - Phylloscopus humei_1.Table.2.selections_4splits.txt,5770.898,4823.438,4134.375,5598.633,5684.766,4823.438,3962.109,5684.766,0.0711,2011,2011,F7,D4,Tw15,T10,IV08
104,110313_06 U Phylloscopus humei Dehradun Uttarakhand_check background also_7.Table.2.selections_4splits.txt,4478.906,4392.773,3617.578,5857.031,4737.305,4478.906,3703.711,4995.703,0.0649,2011,2011,F7,D4,Tw15,T10,IV08
105,110500x_Kazakhistan_ArendWasinck_XC150181 - Hume's Leaf Warbler - Phylloscopus humei humei_4.Table.2.selections_4splits.txt,4995.703,4392.773,4220.508,5684.766,4823.438,4392.773,4048.242,5426.367,0.0692,2011,2011,F7,D4,Tw15,T10,IV08
106,110500x_Kazakhistan_Patrick Franke_XC120496 - Hume's Leaf Warbler - Phylloscopus humei humei_5.Table.2.selections_4splits.txt,4565.039,4306.641,4048.242,5081.836,4995.703,4392.773,3531.445,5167.969,0.0688,2011,2011,F7,D4,Tw15,T10,IV08
107,120200x_Bandhavgarh_Hannu_Phylloscopus humei_120211_01_1.Table.2.selections_4splits.txt,4781.25,4781.25,4218.75,5250,4781.25,4687.5,3562.5,5156.25,0.0628,2012,2012,F7,D4,Tw16,T11,IV08
108,"121000x_Xinjiang West China_Pholt_Warbler, Hume's Leaf (Xinjiang)(A7241)_3.Table.2.selections_4splits.txt",5625,4125,4875,4875,5250,4125,4875,4875,0.0664,2012,2012,F7,D4,Tw16,T11,IV08
109,"121000x_Xinjiang West China_Pholt_Warbler, Hume's Leaf (Xinjiang)(A7244)_4 down sampled.Table.2.selections_4splits.txt",5512.5,4048.242,4737.305,5512.5,5512.5,4134.375,4651.172,5426.367,0.0708,2012,2012,F7,D4,Tw16,T11,IV08
110,"121000x_Xinjiang_Pholt_Warbler, Hume's Leaf (Xinjiang)(A7232)_5 downsampled.Table.2.selections_4splits.txt",5426.367,3875.977,4478.906,5167.969,5254.102,3962.109,4565.039,5167.969,0.0681,2012,2012,F7,D4,Tw16,T11,IV08
111,121100x_Mathew_Corbett_00x_P. humei_022A-WA1301000x00xX-0056M0_6.Table.2.selections_4splits.txt,6000,4406.25,3656.25,5718.75,5718.75,4406.25,3843.75,5625,0.0589,2012,2012,F7,D4,Tw16,T11,IV08
